Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary
Allen Robinson,WR,CHI,67,63,69,53,bye,59,61,0,0,54,67,51,70,61,46,44,0,765,58.8,0,12,86,9,0.58,1.69,0.21,0.59,0.15,0,,
Demaryius Thomas,WR,NE,53,59,54,51,47,48,41,52,49,0,46,54,60,68,47,35,0,764,50.9,0,12,76,3.75,0.6,1.5,0.19,0.68,0.17,0,,
T.Y. Hilton,WR,IND,80,55,59,43,0,0,35,64,bye,43,42,60,66,54,41,58,63,763,54.5,0,16,77,3.75,0.66,2.54,0.23,0.66,0.15,0,,
Tyrell Williams,WR,OAK,62,45,38,55,46,49,36,0,47,45,67,9,50,48,65,58,41,761,47.6,0,8,76,7.5,0.61,1.5,0.14,0.65,0.28,0,,
John Brown,WR,BUF,48,68,55,44,59,41,50,46,39,0,51,45,43,50,47,34,37,757,47.3,0,13,64,3.75,0.63,1.5,0.19,0.46,0.36,0,,
David Johnson,RB,ARI,36,35,43,55,48,55,48,53,bye,56,43,37,52,62,34,40,52,749,46.8,34,10,80,3.64,0.48,1.5,0.19,0.72,0.2,0.78,,
Julian Edelman,WR,NE,0,0,0,0,48,71,63,73,64,54,bye,60,66,74,58,58,58,747,62.3,1,14,87,11.89,0.58,1.95,0.24,0.7,0.2,0,,
Kenny Stills,WR,MIA,59,56,40,38,60,67,49,0,28,65,bye,51,48,40,51,37,56,745,49.7,0,9,87,3.75,0.58,1.5,0.14,0.62,0.24,0,,
Ryan Griffin,TE,NYJ,63,52,52,59,57,51,0,0,47,0,47,43,61,59,44,47,61,743,53.1,0,6,77,3.75,0.49,1.5,0.12,0.57,0,0,,
Michael Gallup,WR,DAL,29,25,25,40,24,59,56,bye,47,58,52,36,52,77,55,41,63,739,46.2,0,9,68,3.75,0.58,1.5,0.15,0.5,0.09,0,,
D.J. Moore,WR,CAR,17,17,33,bye,29,27,27,46,53,49,45,54,66,67,57,86,59,732,45.8,2,11,69,13.23,0.59,1.81,0.18,0.71,0.07,0,,
Carson Wentz,QB,PHI,0,0,82,78,59,71,67,62,bye,62,51,65,75,52,0,0,0,724,65.8,5,0,100,3.75,0,1.5,0,0,0,0,,
Josh Allen,QB,BUF,32,62,67,58,65,38,0,0,0,0,bye,58,72,76,68,61,62,719,59.9,12,0,93,3.75,0,1.5,1,0,0,0,,
James Conner,RB,PIT,77,72,56,49,45,66,bye,56,68,23,58,67,49,0,0,0,32,718,55.2,30,10,78,4.53,0.53,1.5,0.18,0.82,0.03,0.92,,
Chris Godwin,WR,TB,46,29,37,31,bye,37,66,63,37,34,23,49,52,60,41,61,51,717,44.8,0,13,64,3.75,0.63,1.87,0.2,0.66,0.19,0,,
Odell Beckham Jr.,WR,CLE,68,66,59,59,52,63,61,67,0,56,46,52,67,0,0,0,0,716,59.7,1,17,94,3.8,0.65,2.26,0.26,0.65,0.21,0,,
Cole Beasley,WR,BUF,43,30,42,38,37,42,53,0,44,48,42,43,47,65,44,35,60,713,44.6,0,12,66,3.75,0.67,1.5,0.18,0.76,0.21,0,,
Marquez Valdes-Scantling,WR,GB,2,6,12,54,77,66,bye,31,60,54,48,44,64,30,21,72,51,692,43.3,0,10,64,14.5,0.69,1.5,0.14,0.57,0.08,0,,
Jameis Winston,QB,TB,0,0,0,35,bye,66,95,63,0,0,30,73,65,70,50,80,61,688,62.5,7,0,88,3.75,0,1.5,0,0,0,0,,
Keelan Cole,WR,JAC,47,59,53,60,74,45,52,15,bye,22,16,50,36,51,39,35,33,687,42.9,0,10,66,3.75,0.69,1.5,0.14,0.59,0.07,0,,
Danny Amendola,WR,DET,45,44,31,42,53,75,55,65,47,66,0,14,0,25,39,31,50,682,45.5,0,12,79,3.75,0.61,1.5,0.18,0.79,0.05,0,,
Robby Anderson,WR,NYJ,35,53,42,42,32,53,62,0,47,0,bye,48,49,38,71,56,54,682,48.7,0,14,77,3.75,0.64,1.72,0.2,0.57,0.38,0,,
Virgil Green,TE,LAC,44,41,33,50,46,48,32,bye,34,47,54,45,41,40,43,29,47,674,42.1,0,4,68,3.75,0.35,1.5,0.11,0.7,0.03,0,,
Kyle Juszczyk,RB,SF,26,40,53,37,68,39,34,47,34,46,bye,38,39,42,46,33,40,662,41.4,1,6,63,3.75,0.39,1.5,0.14,0.81,0.04,0,,
Emmanuel Sanders,WR,DEN,64,54,60,54,73,56,43,59,61,bye,50,44,40,0,0,0,0,658,54.8,1,15,84,13.25,0.62,2.12,0.24,0.73,0.25,0.06,,
Alvin Kamara,RB,NO,52,51,67,59,31,bye,39,38,41,34,44,37,36,41,47,40,0,657,43.8,30,16,66,4.55,0.51,2.12,0.29,0.83,0.12,0.7,,
Josh Hill,TE,NO,24,39,49,43,38,bye,44,34,55,43,46,31,26,45,51,46,38,652,40.8,0,4,62,3.75,0.3,1.5,0.12,0.7,0.03,0,,
Alex Smith,QB,WAS,79,74,61,bye,61,70,60,68,69,58,51,0,0,0,0,0,0,651,65.1,6,0,96,3.75,0,1.5,0,0,0,0,,
Nick Boyle,TE,BAL,54,43,38,55,39,48,32,31,21,bye,53,51,50,39,21,39,37,651,40.7,0,6,55,3.75,0.26,1.5,0.18,0.74,0,0,,
Calvin Ridley,WR,ATL,45,35,42,38,48,7,41,bye,47,53,40,52,34,44,43,29,46,644,40.3,1,14,61,4.8,0.72,1.77,0.2,0.7,0.29,0,,
Joe Flacco,QB,DEN,55,85,72,76,87,76,68,61,61,bye,0,0,0,0,0,0,0,641,71.2,3,0,95,3.75,0,1.5,0,0,0,0,,
Eric Ebron,TE,IND,37,16,52,76,59,49,33,17,bye,21,25,49,58,45,38,20,39,634,39.6,0,17,56,3.75,0.71,1.66,0.24,0.61,0.33,0.08,,
Josh Gordon,WR,NE,69,0,0,18,18,63,61,64,57,55,bye,53,48,70,57,0,0,633,52.8,0,11,72,3.75,0.6,1.94,0.18,0.61,0.13,0,,
Andy Dalton,QB,CIN,56,76,65,73,60,61,48,66,bye,37,55,30,0,0,0,0,0,627,57,3,0,92,3.75,0,1.5,0,0,0,0,,
Jermaine Kearse,WR,DET,0,20,34,48,39,59,64,52,48,50,0,40,48,28,62,34,0,626,44.7,0,12,71,3.75,0.62,1.5,0.19,0.51,0.05,0,,
Chris Herndon IV,TE,NYJ,34,44,34,36,41,28,24,27,42,36,bye,51,50,41,52,39,46,625,39.1,0,9,62,3.75,0.49,1.65,0.18,0.72,0.25,0,,
Jordan Howard,RB,PHI,50,48,46,33,0,36,46,38,26,30,48,35,34,39,34,40,41,624,39,40,4,58,3.74,0.34,1.5,0.12,0.77,0,0.75,,
Devin Funchess,WR,IND,57,66,52,0,51,58,54,48,45,49,48,0,32,29,11,22,0,622,44.4,0,13,67,3.75,0.65,1.5,0.19,0.57,0.1,0,,
Mike Williams,WR,LAC,44,39,35,46,45,38,30,bye,15,26,45,63,34,29,66,40,27,622,38.9,1,11,62,4,0.61,1.74,0.17,0.67,0.31,0.06,,
David Moore,WR,SEA,16,20,23,43,31,30,bye,45,63,45,40,32,28,52,58,55,39,620,38.8,0,8,58,5,0.52,1.5,0.16,0.52,0.15,0,,
Lamar Miller,RB,HOU,57,51,52,46,0,41,45,34,40,bye,46,40,41,51,11,0,64,619,44.2,34,6,65,4.63,0.45,1.5,0.12,0.74,0.04,0.71,,
Peyton Barber,RB,TB,48,36,44,31,bye,41,35,43,35,33,48,36,40,32,32,47,35,616,38.5,38,5,55,3.72,0.44,1.5,0.1,0.74,0.03,0.63,,
Josh Reynolds,WR,LAR,2,2,4,1,36,46,51,69,2,10,78,bye,67,63,75,35,70,611,38.2,0,9,55,4,0.53,1.5,0.15,0.59,0.15,0,,
Jonnu Smith,TE,TEN,40,59,57,69,42,25,56,bye,53,60,42,42,48,17,0,0,0,610,46.9,0,5,75,3.75,0.41,1.5,0.12,0.69,0.2,0,,
Golden Tate,WR,NYG,57,65,54,42,48,0,46,54,bye,18,36,39,36,20,22,29,40,606,40.4,1,19,62,8.5,0.66,1.98,0.26,0.7,0.17,0,,
Kendrick Bourne,WR,SF,8,10,15,25,42,23,26,54,12,69,bye,56,67,43,46,52,58,606,37.9,0,11,57,3.75,0.6,1.5,0.16,0.7,0.15,0,,
John Ross,WR,CIN,37,45,31,18,0,0,28,0,bye,36,51,69,60,60,73,45,48,601,46.2,1,10,74,3.75,0.61,1.5,0.15,0.38,0.26,0,,
Dion Lewis,RB,TEN,49,34,30,48,34,32,45,bye,59,49,44,29,40,38,23,22,24,600,37.5,26,11,61,3.34,0.53,1.5,0.21,0.88,0.07,0.08,,
James White,RB,NE,36,34,25,40,43,33,45,61,56,42,bye,37,33,33,26,29,27,600,37.5,16,21,54,4.52,0.69,1.82,0.28,0.75,0.23,0.31,,
Joe Mixon,RB,CIN,44,39,0,0,47,42,44,55,bye,29,34,53,39,47,52,38,33,596,42.6,40,9,69,4.96,0.46,1.5,0.2,0.8,0.04,0.73,,
Chester Rogers,WR,IND,47,26,40,73,64,46,36,39,bye,16,21,32,1,25,37,46,46,595,37.2,0,12,51,3.75,0.67,1.5,0.18,0.75,0.05,0,,
Tajae Sharpe,WR,TEN,58,28,24,31,33,35,56,bye,55,54,58,38,53,20,39,3,7,592,37,0,8,60,16,0.55,1.5,0.14,0.57,0.13,0,,
Lamar Jackson,QB,BAL,30,6,2,9,5,2,5,14,13,bye,79,70,66,69,76,62,77,585,36.6,25,0,50,3.75,0.02,1.5,0.1,0,0,0,,
Ryan Tannehill,QB,TEN,62,60,44,36,64,0,0,bye,0,0,0,53,55,46,53,46,61,580,52.7,6,0,97,3.75,0,1.5,0.5,1,0,0,,
Tevin Coleman,RB,SF,36,40,53,40,27,38,37,0,39,49,34,35,29,33,34,31,25,580,36.3,29,8,55,4.79,0.51,1.5,0.14,0.8,0.19,0.67,,
Anthony Miller,WR,CHI,39,37,36,0,bye,41,52,48,36,42,60,33,58,37,26,29,2,576,38.4,1,9,57,4.33,0.63,1.5,0.15,0.61,0.26,0,,
Seth Roberts,WR,BAL,47,22,0,30,28,44,0,30,32,28,47,39,59,52,40,30,43,571,38.1,1,11,59,3.75,0.66,1.5,0.16,0.75,0.11,0,,
Tre'Quan Smith,WR,NO,11,22,26,26,44,bye,52,41,48,50,50,0,44,41,46,26,40,567,37.8,0,8,57,3.75,0.56,1.5,0.13,0.65,0.15,0,,
Vance McDonald,TE,PIT,0,37,32,39,37,51,bye,27,51,25,52,33,44,38,23,34,41,564,37.6,0,13,54,3.75,0.72,1.5,0.16,0.74,0.12,0,,
Jesse James,TE,DET,69,45,33,27,36,51,0,40,35,34,16,50,33,31,22,17,23,562,35.1,0,7,50,3.75,0.51,1.5,0.14,0.77,0.11,0,,
Ryan Grant,WR,OAK,65,43,50,72,68,40,bye,0,0,29,24,27,42,49,17,28,7,561,40.1,0,9,57,3.75,0.71,1.5,0.13,0.67,0.06,0,,
Rhett Ellison,TE,NYG,29,24,54,54,55,0,32,28,bye,33,40,54,68,33,28,25,0,557,39.8,0,6,62,3.75,0.44,1.5,0.13,0.78,0.04,0,,
Jeff Heuerman,TE,DEN,60,41,41,53,53,58,48,63,47,bye,48,43,0,0,0,0,0,555,50.5,0,9,77,3.75,0.44,1.5,0.17,0.7,0.13,0,,
Kenyan Drake,RB,MIA,46,36,29,22,41,49,36,37,28,34,bye,24,30,24,28,39,42,545,34.1,22,13,59,4.46,0.55,1.59,0.22,0.8,0.2,0.57,,
Laquon Treadwell,WR,MIN,38,45,58,46,30,38,51,46,41,bye,29,33,22,30,22,0,14,543,36.2,0,10,55,3.75,0.68,1.5,0.13,0.74,0.03,0,,
Christian Kirk,WR,ARI,45,31,37,40,32,46,52,50,bye,65,48,43,53,0,0,0,0,542,45.2,1,13,79,11.67,0.63,1.72,0.19,0.66,0.2,0,,
Marvin Jones,WR,DET,62,77,67,50,58,bye,56,57,63,48,0,0,0,0,0,0,0,538,59.8,0,12,89,3.75,0.64,1.5,0.17,0.59,0.26,0,,
