Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary
Cam Phillips,WR,BUF,0,0,0,0,0,0,16,11,0,0,bye,0,0,0,0,0,0,27,13.5,0,4,23,3.75,0.74,1.5,0.05,1,0,0,,
Mike Glennon,QB,OAK,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,17,9,0,26,13,0,0,21,3.75,0,1.5,0,0,0,0,,
Brandon Bolden,RB,NE,0,0,0,0,0,0,0,0,0,0,bye,0,3,4,3,8,7,25,1.6,0,0,0,11.38,0.44,1.5,0.27,1,0.03,0.13,,
Daniel Brown,TE,NYJ,0,1,0,3,0,0,0,1,7,0,2,2,0,3,2,2,0,23,1.6,0,0,0,3.75,0,1.5,0,0,0,0,,
Shaun Wilson,RB,WAS,2,3,3,bye,0,0,0,0,4,10,0,0,0,0,0,0,0,22,4.4,0,0,0,4.83,0.73,1.5,0.31,0.6,0,0,,
Robert Griffin,QB,BAL,0,0,0,0,0,0,0,0,0,bye,1,0,16,4,0,0,0,21,7,0,0,0,3.75,0,1.5,0,0,0,0,,
Keenan Reynolds,WR,SEA,0,5,16,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,21,10.5,0,0,16,3.75,0,1.5,0,0,0,0,,
T.J. Logan,RB,ARI,0,0,0,0,0,0,0,1,bye,3,1,2,3,1,10,0,0,21,2.1,0,0,0,3.75,0.86,2.06,0.39,1,0,0,,
Mason Schreck,TE,CIN,0,0,0,0,12,7,2,0,bye,0,0,0,0,0,0,0,0,21,3.5,0,0,0,3.75,0,1.5,0,0,0,0,,
David Williams,RB,DEN,0,0,0,0,0,0,6,0,0,bye,0,0,0,0,8,2,4,20,3.3,0,0,0,3.75,0,1.5,0,0,0,0,,
Matt Slater,WR,NE,0,0,0,3,2,1,0,2,6,0,bye,0,0,0,0,2,3,19,1.2,0,0,0,3.75,0,1.5,0,0,0,0,,
Dan Vitale,RB,GB,0,0,0,0,0,0,bye,0,0,0,0,0,3,2,4,8,2,19,3.8,0,0,0,3.75,0,1.5,0,0,0,0,,
Kyle Lauletta,QB,NYG,0,0,0,0,0,0,0,0,bye,0,0,0,0,18,0,0,1,19,9.5,0,0,0,3.75,0,1.5,0,0,0,0,,
Jonathan Williams,RB,IND,3,6,9,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,18,6,0,0,0,3.75,0.56,1.5,0.1,1,0,0,,
Jacoby Brissett,QB,IND,0,0,1,0,0,0,8,0,bye,0,8,1,0,0,0,0,0,18,4.5,0,0,0,3.75,0,1.5,0,0,0,0,,
Ameer Abdullah,RB,MIN,0,0,0,0,0,0,7,4,0,bye,1,2,2,0,1,0,0,17,1.7,0,0,0,3.75,0.76,2.15,0.31,0.75,0,0,,
Brandon Zylstra,WR,MIN,0,2,0,1,0,0,1,1,1,bye,1,1,0,0,0,6,3,17,1.1,0,0,0,3.75,0.53,2.56,0.22,0.5,0,0,,
Jordan Franks,TE,CIN,0,0,0,0,0,0,0,1,bye,1,3,0,7,5,0,0,0,17,2.8,0,0,0,3.75,0.53,4.11,0.33,0.67,0,0,,
Chad Henne,QB,KC,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,13,13,13,8,0,24,3.75,0,1.5,0,0,0,0,,
Garrett Gilbert,QB,CLE,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,13,13,13,0,0,18,3.75,0,1.5,0,0,0,0,,
Isaiah Ford,WR,MIA,0,0,0,0,0,0,0,0,0,0,bye,0,13,0,0,0,0,13,13,0,8,24,3.75,0.54,1.5,0.14,0,0,0,,
Darvin Kidsy,WR,WAS,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,3,10,13,6.5,0,0,0,3.75,0.69,1.5,0.22,0.5,0,0,,
Matt Schaub,QB,ATL,0,1,0,0,8,0,0,bye,0,0,0,0,0,0,3,0,0,12,4,0,0,0,3.75,0,1.5,0,0,0,0,,
AJ McCarron,QB,HOU,0,0,0,0,0,0,0,0,10,bye,0,2,0,0,0,0,0,12,6,0,0,0,3.75,0,1.5,0,0,0,0,,
Nate Sudfeld,QB,PHI,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,1,10,11,5.5,0,0,0,3.75,0,1.5,0,0,0,0,,
Alex Ellis,TE,PHI,10,1,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,11,5.5,0,0,0,3.75,0,1.5,0,0,0,0,,
Cole Wick,TE,TEN,1,6,0,0,4,0,0,bye,0,0,0,0,0,0,0,0,0,11,2.2,0,0,0,3.75,0.27,1.5,0.33,0,0,0,,
J.D. McKissic,RB,SEA,0,0,0,0,0,0,bye,0,0,0,0,0,2,1,3,2,1,9,1.8,0,0,0,3.75,0.44,1.5,0.25,0,0,0,,
Shane Smith,RB,NO,5,4,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,9,4.5,0,0,0,3.75,0,1.5,0,0,0,0,,
De'Lance Turner,RB,BAL,0,0,0,4,5,0,0,0,0,bye,0,0,0,0,0,0,0,9,2.3,0,0,0,4,0.67,2.83,0.33,1,0,0,,
Alonzo Russell,WR,NYG,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,8,8,8,0,0,0,3.75,0,1.5,0,0,0,0,,
Jehu Chesson,WR,WAS,0,1,0,bye,0,0,0,0,0,4,0,0,0,1,0,0,1,7,0.6,0,0,0,3.75,0.43,2.33,0.67,0.5,0,0,,
David Fluellen,RB,TEN,0,0,0,0,0,0,3,bye,0,3,0,0,0,0,0,0,0,6,0.9,0,0,0,3.75,0,1.5,0,0,0,0,,
Pharoh Cooper,WR,ARI,0,0,0,0,0,0,0,0,bye,0,0,0,5,0,1,0,0,6,0.9,0,0,0,3.75,0.5,1.5,0.33,0,0,0,,
Cooper Rush,QB,DAL,0,0,0,0,0,6,0,bye,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3.75,0,1.5,0,0,0,0,,
Keon Hatcher,WR,OAK,0,0,0,0,0,0,bye,0,0,0,0,2,4,0,0,0,0,6,2,0,0,0,3.75,1,1.5,0.33,0.5,0,0,,
Donnie Ernsberger,RB,JAC,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,2,4,6,3,0,0,0,3.75,0,1.5,0,0,0,0,,
Johnny Holton,WR,PIT,0,0,0,0,0,0,bye,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,3.75,0.8,1.5,0.25,0,0,0,,
Tra Carson,RB,GB,3,2,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,5,0.8,0,0,0,3.75,0,1.5,0,0,0,0,,
Malachi Dupre,WR,LAC,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,5,5,5,0,0,0,3.75,0,1.5,0,0,0,0,,
Justin Davis,RB,LAR,0,0,0,0,0,0,0,0,0,0,0,bye,0,1,4,0,0,5,0.5,0,0,0,3.75,0,1.5,0,0,0,0,,
Temarrick Hemingway,TE,CAR,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0.8,0,0,0,3.75,0,1.5,0,0,0,0,,
Jaydon Mickens,WR,CAR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,0,3.75,0,1.5,0,0,0,0,,
De'Angelo Henderson,RB,MIN,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,3,3,1.5,0,0,0,3.75,0,1.5,0,0,0,0,,
Daurice Fountain,WR,IND,0,0,0,0,0,0,0,0,bye,0,0,0,0,3,0,0,0,3,3,0,0,0,3.75,0,1.5,0,0,0,0,,
Buddy Howell,RB,HOU,0,0,0,0,0,0,0,0,0,bye,0,1,1,0,1,0,0,3,0.2,0,0,0,3.75,0,1.5,0,0,0,0,,
Da'Mari Scott,WR,NYG,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,3,3,1,0,0,0,3.75,0,1.5,0,0,0,0,,
Garrett Dickerson,TE,NYG,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,3,0,3,1.5,0,0,0,3.75,0,1.5,0,0,0,0,,
Taiwan Jones,RB,HOU,0,0,0,1,1,0,0,0,0,bye,0,0,0,0,0,0,0,2,0.3,0,0,0,3.75,1,1.5,1,0,0,0,,
Jeremy McNichols,RB,TEN,0,0,0,2,0,0,0,bye,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3.75,0,1.5,0,0,0,0,,
Dare Ogunbowale,RB,TB,0,0,0,0,bye,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,3.75,0,1.5,0,0,0,0,,
Tim White,WR,NYJ,0,0,0,2,0,0,0,0,0,0,bye,0,0,0,0,0,0,2,0.7,0,0,0,3.75,0.5,14,1,1,0,0,,
Chad Kelly,QB,IND,0,0,0,0,0,1,0,0,bye,0,0,0,0,0,0,0,0,1,1,0,0,0,3.75,0,1.5,0,0,0,0,,
Allen Lazard,WR,GB,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3.75,1,7,1,1,0,0,,
Deon Yelder,TE,KC,0,0,0,0,0,0,0,0,0,1,0,bye,0,0,0,0,0,1,0.3,0,0,0,3.75,0,1.5,0,0,0,0,,
Steven Dunbar,WR,DEN,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,1,1,1,0,0,0,3.75,0,1.5,0,0,0,0,,
Steven Mitchell Jr.,WR,HOU,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,1,1,1,0,0,0,3.75,0,1.5,0,0,0,0,,
