Player,FantasyProName,Pos,Team,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary,BottomTwentyFive,TopTwentyFive,Percentile,DKValue,ProjPts,numberFirePots,Active
Parris Campbell,Parris Campbell,WR,IND,30,0.6,0.6,52.9,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.75,Active
Russell Gage,Russell Gage,WR,ATL,3.6,0.8,1.5,51.8,3.75,0.477,1.99,0.312,0.59,0,0,0,0,0,0,3.6,0,0,2.72,Active
Jeff Wilson,Jeff Wilson,RB,SF,29.52,30.6,7.2,45.9,4.002,0.486,1.5,0.126,0.72,0,0,0,0,5.22,18.36,3.6,0,0,2.14,Active
Chris Moore,Chris Moore,WR,BAL,26.28,0.9,4.5,35.1,3.5,0.396,1.5,0.108,0.684,0.05,0,2790,0,0.99,6.57,3.6,0,0,2.53,Active
J.D. McKissic,J.D. McKissic,RB,DET,1.62,0,4,50.6,3.75,0.396,1.95,0.275,0.1,0,0,2700,0,0,0,3.6,0,0,3.14,Active
Dontrelle Inman,Dontrelle Inman,WR,LAC,37.17,0,9.4,57.9,3.75,0.549,1.5,0.159,0.766,0.08,0,2700,0,1.575,17.064,3.6,0,0,2.52,Active
Jordan Akins,Jordan Akins,TE,HOU,21.87,0,5.8,38.5,3.75,0.45,1.5,0.116,0.689,0,0,2430,0,0,3.96,3.6,0,0,2.49,Active
Kelvin Harmon,Kelvin Harmon,WR,WAS,30,0,1.4,52.2,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.55,Active
Dontrell Hilliard,Dontrell Hilliard,RB,CLE,4.77,0.8,1.5,51.8,3.775,0.531,2.937,0.283,0.86,0,0.1,0,0,0,0,3.6,0,0,2.19,Active
Marcedes Lewis,Marcedes Lewis,TE,GB,10.71,0,2.7,21.8,3.75,0.207,1.5,0.084,0.967,0,0,2250,0,0,9.576,3.6,0,0,2.44,Active
Deon Cain,Deon Cain,WR,IND,30,0,1.8,51.7,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.42,Active
Virgil Green,Virgil Green,TE,LAC,37.89,0,4,65.6,3.75,0.315,1.5,0.11,0.73,0.03,0,2430,0,0.558,7.533,3.6,0,0,2.4,Active
Lee Smith,Lee Smith,TE,BUF,16.02,0,3.6,24.3,3.75,0.144,1.5,0.216,0.819,0.19,0,2250,0,1.557,4.707,3.6,0,0,2.44,Active
Jonnu Smith,Jonnu Smith,TE,TEN,42.21,0.3,4.8,74.1,4.375,0.369,1.5,0.119,0.721,0.18,0,2340,0,0,10.89,3.6,0,0,2.85,Active
Taywan Taylor,Taywan Taylor,WR,CLE,30.78,0,11.7,49.5,3.75,0.504,1.683,0.198,0.603,0.06,0,0,0,1.17,12.915,3.6,0,0,2.28,Active
DeAndre Washington,DeAndre Washington,RB,OAK,6.3,4,0,50.9,3.847,0.324,1.5,0.036,0.9,0,0,2700,0,4.41,19.62,3.6,0,0,1.94,Active
Jesse James,Jesse James,TE,DET,31.59,0,6.5,51,3.75,0.459,1.5,0.133,0.793,0.1,0,2340,0,1.404,12.789,3.6,0,0,2.41,Active
Robert Foster,Robert Foster,WR,BUF,31.14,0,9,47.7,3.75,0.522,1.854,0.153,0.549,0.19,0,2970,0,1.665,19.89,3.6,0,0,2.04,Active
Chase Edmonds,Chase Edmonds,RB,ARI,11.16,28,10.8,20,3.623,0.522,1.5,0.18,0.783,0,0.2,2880,0,0,0,3.6,0,0,1.89,Active
Demetrius Harris,Demetrius Harris,TE,CLE,22.23,0,6.3,34.2,3.75,0.396,1.5,0.16,0.432,0.1,0,0,0,0.234,10.098,3.6,0,0,2.14,Active
Daniel Brown,Daniel Brown,TE,NYJ,1.44,0,0,50,3.75,0,1.5,0,0,0,0,0,0,1.53,9.387,3.6,0,0,0.97,Active
D'Ernest Johnson,D'Ernest Johnson,RB,CLE,30,1,2,51.4,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.88,Active
Keelan Cole,Keelan Cole,WR,JAC,38.61,0,9,59.4,3.75,0.621,1.5,0.126,0.531,0.06,0,2970,0,1.377,17.343,3.6,0,0,1.97,Active
Demaryius Thomas,Demaryius Thomas,WR,NYJ,45.81,0,10.8,68.4,3.75,0.54,1.5,0.171,0.612,0.15,0,3060,0,5.175,20.961,3.6,0,0,5.98,Active
T.J. Yeldon,T.J. Yeldon,RB,BUF,32.58,18.9,13.5,49.5,3.957,0.549,1.5,0.207,0.711,0.26,0.15,2880,0,5.913,18.54,3.6,0,0,1.76,Active
Dwayne Harris,Dwayne Harris,WR,OAK,3.24,0,5,50.4,5.775,0.45,1.7,0.248,1,0,0,2700,0,0.81,16.497,3.6,0,0,1.88,Active
Maxx Williams,Maxx Williams,TE,ARI,25.92,0.9,4.9,36.8,3.75,0.198,1.666,0.18,1,0.06,0,2250,0,1.008,8.19,3.6,0,0,1.79,Active
Diontae Spencer,Diontae Spencer,WR,DEN,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.69,Active
Patrick DiMarco,Patrick DiMarco,RB,BUF,9.45,0.9,2.4,19.4,8.475,0.234,1.5,0.088,0.775,0,0,2700,0,-0.09,1.755,3.6,0,0,1.74,Active
Isaiah McKenzie,Isaiah McKenzie,WR,BUF,25.29,3.6,11.7,36.9,6.315,0.576,1.5,0.18,0.558,0,0.3,2700,0,1.575,12.87,3.6,0,0,1.5,Active
Trent Taylor,Trent Taylor,WR,SF,20.61,0,10.8,30.6,3.75,0.675,1.5,0.144,0.612,0.04,0,2700,0,2.745,12.645,3.6,0,0,1.66,Active
Matt LaCosse,Matt LaCosse,TE,NE,25.11,0,8.1,35.1,3.75,0.441,1.5,0.153,0.639,0.03,0,2430,0,0.585,13.05,3.6,0,0,1.44,Active
Tommy Sweeney,Tommy Sweeney,TE,BUF,30,0,0.9,53.3,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.48,Active
Jeremy Sprinkle,Jeremy Sprinkle,TE,WAS,20.43,0,2.5,34.6,3.75,0.279,1.5,0.077,0.667,0.06,0,2250,0,0,9.81,3.6,0,0,1.58,Active
Ray-Ray McCloud,Ray-Ray McCloud,WR,CAR,10.89,1.8,4.5,15.3,3.75,0.549,1.5,0.072,0.747,0,0,0,0,0,0,3.6,0,0,1.45,Active
Ameer Abdullah,Ameer Abdullah,RB,MIN,1.53,5,0,50.8,3.775,0.684,1.935,0.279,0.675,0,0,2700,0,4.95,16.326,3.6,0,0,1.2,Active
J.J. Arcega-Whiteside,J.J. Arcega-Whiteside,WR,PHI,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.39,Active
Cody Core,Cody Core,WR,NYG,19.98,0,8.1,32.4,3.75,0.567,1.5,0.126,0.414,0.04,0,2700,0,1.053,10.233,3.6,0,0,1.47,Active
